sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
0,image_search,3.573539,15.348945,0.000,1
0,reranker,0.000177,16.188573,0.000,1
0,nli,3.243726,9.973013,0.000,1
1,image_search,2.977011,15.348945,0.000,1
1,reranker,0.000236,16.188573,0.000,1
1,nli,1.261394,2.592401,0.000,1
2,image_search,2.932798,15.348945,0.000,1
2,reranker,0.000277,16.188573,0.000,1
2,nli,0.819111,2.799091,0.000,1
3,image_search,2.937441,15.348945,0.000,1
3,reranker,0.000267,16.188573,0.000,1
3,nli,0.571044,1.889780,0.000,1
4,image_search,2.976796,15.348945,0.000,1
4,reranker,0.000243,16.188573,0.000,1
4,nli,2.723483,9.972648,0.000,1
5,image_search,4.770026,15.348945,0.000,1
5,reranker,0.000315,16.188573,0.000,1
5,nli,3.009307,9.972648,0.000,1
6,image_search,5.344280,15.348945,0.000,1
6,reranker,0.000342,16.188573,0.000,1
6,nli,0.342704,1.530472,0.000,1
7,image_search,2.953478,15.348945,0.000,1
7,reranker,0.000184,16.188573,0.000,1
7,nli,3.034610,9.972648,0.000,1
8,image_search,2.915501,15.348945,0.000,1
8,reranker,0.000287,16.188573,0.000,1
8,nli,2.832305,8.776394,0.000,1
9,image_search,3.852808,15.348945,0.000,1
9,reranker,0.000228,16.188573,0.000,1
9,nli,3.007750,9.972648,0.000,1
10,image_search,2.770112,15.348945,0.000,0
10,reranker,0.000232,16.188573,0.000,0
10,nli,2.713438,9.972648,0.000,0
11,image_search,4.718767,15.348945,0.000,0
11,reranker,0.000200,16.188573,0.000,0
11,nli,2.521264,9.613903,0.000,0
12,image_search,3.309796,15.348945,0.000,0
12,reranker,0.000321,16.188573,0.000,0
12,nli,3.044186,9.972648,0.000,0
13,image_search,2.318141,15.348945,0.000,0
13,reranker,0.000350,16.188573,0.000,0
13,nli,0.952051,3.285725,0.000,0
14,image_search,2.321566,15.348945,0.000,0
14,reranker,0.000223,16.188573,0.000,0
14,nli,0.929705,3.128361,0.000,0
15,image_search,2.382419,15.348945,0.000,0
15,reranker,0.000208,16.188573,0.000,0
15,nli,0.864296,2.932584,0.000,0
16,image_search,3.068085,15.348945,0.000,0
16,reranker,0.000222,16.188573,0.000,0
16,nli,2.005852,6.948897,0.000,0
17,image_search,4.462833,15.348945,0.000,0
17,reranker,0.000281,16.188573,0.000,0
17,nli,3.051919,9.972648,0.000,0
18,image_search,3.543489,15.348945,0.000,0
18,reranker,0.000239,16.188573,0.000,0
18,nli,2.777020,8.436551,0.000,0
19,image_search,2.313094,15.348945,0.000,0
19,reranker,0.000251,16.188573,0.000,0
19,nli,1.368349,4.788882,0.000,0
